id,kind,created_at,updated_at,user_id,common
1,食費,2018-04-01 04:04:44.522543,2018-04-01 04:04:44.522543,2,t
2,外食,2018-04-01 04:05:01.761215,2018-04-01 04:05:01.761215,2,t
3,日用品,2018-04-01 04:05:14.157785,2018-04-01 04:05:14.157785,2,t
4,交通費,2018-04-01 04:05:26.700357,2018-04-01 04:05:26.700357,2,f
5,その他,2018-04-01 04:14:15.302837,2018-04-01 04:14:15.302837,1,t
6,家賃,2018-04-01 04:20:27.050997,2018-04-01 04:20:27.050997,1,t
7,電気代,2018-04-01 04:23:21.031699,2018-04-01 04:23:21.031699,1,t
8,水道代,2018-04-01 04:23:31.055073,2018-04-01 04:23:31.055073,1,t
9,ガス代,2018-04-01 04:23:38.661628,2018-04-01 04:23:38.661628,1,t
10,交際費,2018-04-01 05:27:07.711209,2018-04-01 05:27:20.715244,1,t
11,交通費,2018-04-01 05:27:48.234163,2018-04-01 05:27:48.234163,1,f
12,運動,2018-04-10 22:43:46.991112,2018-04-10 22:43:46.991112,1,f
13,携帯・電子機器,2018-04-10 22:46:04.343678,2018-04-10 22:46:04.343678,1,f
14,映画・本・勉強,2018-04-10 22:47:53.415253,2018-04-10 22:47:53.415253,1,f
15,医療費,2018-04-10 22:51:03.447598,2018-04-10 22:51:03.447598,1,f
16,雑費,2018-04-10 22:52:13.789877,2018-04-10 22:52:13.789877,1,f
17,保険,2018-04-10 22:52:19.694638,2018-04-10 22:52:19.694638,1,f
18,洋服,2018-04-21 07:46:20.942605,2018-04-21 07:46:20.942605,1,f
19,美容院,2018-04-21 07:46:30.924934,2018-04-21 07:46:30.924934,1,f
20,医療費,2018-05-02 04:35:43.32826,2018-05-02 04:35:43.32826,2,f
