id,msg_id,func,act,msg
1,1,expenses,create,新しい出費を追加しました。
2,2,expenses,update,出費を更新しました。
3,3,expenses,destroy,出費を削除しました。
4,4,repeat_expenses,create,新しい繰り返し出費を追加しました。
5,5,repeat_expenses,update,繰り返し出費を更新しました。
6,6,repeat_expenses,destroy,繰り返し出費を削除しました。
7,7,wants,create,新しく欲しいものリストを追加しました。
8,8,wants,update,欲しいものリストを更新しました。
9,9,wants,destroy,欲しいものリストを削除しました。
10,10,bought_buttons,bought,欲しいものリストのアイテムを購入しました。
11,11,bought_buttons,want,欲しいものリストのアイテムを未購入に戻しました。
12,12,categories,create,新しいカテゴリを追加しました。
13,13,categories,update,カテゴリを更新しました。
14,14,categories,destroy,カテゴリを削除しました。
15,15,pays,create,新しく手渡し記録を追加しました。
16,16,pays,update,手渡し記録を更新しました。
17,17,pays,destroy,手渡し記録を削除しました。
18,18,notification,payment
